keyword,score
app,149.40108094769974
good,76.47675209670962
best,45.80243835429435
bank,43.0711181227864
nice,34.2598523014137
use,31.35767099909157
work,29.170374238942244
like,29.11786886702228
banking,27.666452103309616
application,25.354772383738528
mobile,22.756788426122498
ነው,21.19712783669608
great,20.784247246978023
working,20.780207599596416
easy,20.734778509164112
time,19.367249914069834
fast,19.249398469284078
cbe,18.997054385837988
update,18.17949532793447
doesn,16.421371801528565
worst,15.25120538052501
boa,15.023668136948572
fix,14.774858478390907
don,14.649137566057686
make,14.472941485654909
service,14.117830543329788
bad,13.730436915159407
money,12.96696753117395
dashen,12.878533554844553
screenshot,12.787580786159495
apps,12.770029844049656
amazing,12.569583407549517
developer,12.401199664636726
account,11.984855079086607
need,11.947655643411327
slow,11.94445794368529
amole,11.716988292265981
using,11.34326544289723
better,10.74059265672069
transfer,10.327132299068813
used,10.058750889285621
needs,10.052946219614931
open,9.814327702838892
simple,9.631326232417983
try,9.472414622887845
user,8.783296328243352
options,7.77349274473374
times,7.592026273548187
experience,7.338485374838464
transactions,6.759645036185809
