review,rating,date,bank,source
nice application,4,2025-05-27 14:41:03,Dashen,Google Play
best,5,2025-05-22 23:11:40,Dashen,Google Play
bast smart bank sistem dashen amole dashen bamk,5,2025-05-17 09:25:53,Dashen,Google Play
best app,5,2025-05-16 16:30:27,Dashen,Google Play
ለአጠቃቀም እጅግ ቀላልና ድህንነቱ የተጠበቀ ነው።,5,2025-05-16 07:10:05,Dashen,Google Play
"Worst app possible, I don't think it gets worse than this. Least user friendly process to exchange your own money, far too many hurdles you have to get past to make a simple money transfer. Even after getting past all the hurdles you are restricted with a min and I believe a max amount of your own money you have access to, not to mention time restrictions; I wasn't able to access my money past midnight multiple times. You can't change tab to another app, having opened this without it crashing.",1,2025-05-15 13:30:37,Dashen,Google Play
I'm a Dashen Bank customer as I know its function and duty. Thanks.,5,2025-05-15 12:10:36,Dashen,Google Play
i love it,4,2025-05-15 11:28:05,Dashen,Google Play
Amole is the digital mobile application what i prefer.,5,2025-05-15 11:01:15,Dashen,Google Play
nice,4,2025-05-12 20:43:20,Dashen,Google Play
best mobile banking app👍,5,2025-05-10 15:23:36,Dashen,Google Play
Complicated and fake app,1,2025-04-29 09:40:22,Dashen,Google Play
Its Good updation from Previous,3,2025-04-25 20:54:25,Dashen,Google Play
yarid dima,5,2025-04-17 20:35:48,Dashen,Google Play
Best app,5,2025-04-14 02:40:38,Dashen,Google Play
"Requires updates too frequently, often has server related issues, the fingerprint always requires updating, it's the most unreliable app I've used and always fails when you want to make urgent payments.",2,2025-04-10 09:19:27,Dashen,Google Play
dashin,3,2025-04-08 01:37:25,Dashen,Google Play
disappointed because of option to transfer cash on telebirr is limited for self only.... those and other similar given choices by the bank used us to choose this bank over others! no doubt I will be not preferring this bank with no unique incentives.,1,2025-03-29 23:42:37,Dashen,Google Play
everything is perfect,5,2025-03-29 16:33:11,Dashen,Google Play
good,4,2025-03-26 12:06:30,Dashen,Google Play
good,5,2025-03-26 09:42:08,Dashen,Google Play
Dashin Bank#1,5,2025-03-20 08:30:56,Dashen,Google Play
Not working,1,2025-03-19 16:56:15,Dashen,Google Play
Both Amole & Dashen superApp are by far the worst mobile banking apps i have ever came across. if only there is 0 star option,1,2025-03-18 19:01:15,Dashen,Google Play
"funny app, so much gymnastics just to be an app for sending and receiving money.",3,2025-03-18 11:40:24,Dashen,Google Play
I use this app so many times so i like it,5,2025-03-17 16:50:55,Dashen,Google Play
Why did u change the option to transfer to other tellebirr account,1,2025-03-17 15:41:12,Dashen,Google Play
It's nice and simple to use app.,5,2025-03-17 01:19:37,Dashen,Google Play
Just 👍,5,2025-03-15 12:25:36,Dashen,Google Play
Not god its,5,2025-03-14 20:19:26,Dashen,Google Play
Regarding Internet banking i really choice a Dashen Bank and I have one recommendation for app developer shall considere the low android level means 4-6 android to adress all types of android users because now a days the current updated app can't support such android.Thanks!!!,5,2025-03-08 20:01:41,Dashen,Google Play
It doesn't work,1,2025-03-02 13:40:09,Dashen,Google Play
ምርጥ,5,2025-02-28 09:46:45,Dashen,Google Play
Best,5,2025-02-26 16:14:00,Dashen,Google Play
Please the update is refused to be download on my phone tecno f1. Please solve this issue ASAP,1,2025-02-26 15:08:17,Dashen,Google Play
Excellent app,5,2025-02-24 11:46:13,Dashen,Google Play
"Very poor service, always not responding when ever we need to transfer I rate it 0 !",1,2025-02-23 13:17:49,Dashen,Google Play
The recent update is broken. It diesn't allow to take screen shots (which by it self is not a problem) and the share button of a transaction doesn't work nor it will download the transaction receipt. I know security is especially important for banking systems but such a huge limitations on functionality will not serve the app any good. I guess the super app is the way to go.,2,2025-02-21 20:55:54,Dashen,Google Play
It is good but have so much problem ...even it say not compateble to your phone...it not easy for work ..,1,2025-02-20 20:45:12,Dashen,Google Play
Dashen bank ATM,5,2025-02-20 12:58:32,Dashen,Google Play
Good,1,2025-02-18 10:27:57,Dashen,Google Play
Good Banking App,5,2025-02-17 11:48:26,Dashen,Google Play
stay hamble,5,2025-02-14 10:58:07,Dashen,Google Play
Great,5,2025-02-13 20:15:58,Dashen,Google Play
ይሄ አሪፍ,2,2025-02-12 19:56:21,Dashen,Google Play
good app i like it but still i am confused because i cannot use prperly so Please check the app,3,2025-02-12 11:08:39,Dashen,Google Play
Very slow and it seems it needs update everytime,1,2025-02-12 11:05:25,Dashen,Google Play
Best,5,2025-02-12 10:13:49,Dashen,Google Play
Nice,5,2025-02-11 18:29:29,Dashen,Google Play
Open app amole dashin,5,2025-02-10 23:43:48,Dashen,Google Play
Akiliua,5,2025-02-10 14:35:45,Dashen,Google Play
Perfiekt,5,2025-02-10 08:08:31,Dashen,Google Play
Help,5,2025-02-08 17:49:19,Dashen,Google Play
Good app,5,2025-02-08 13:31:26,Dashen,Google Play
A very fast mobile banking app,5,2025-02-07 20:39:52,Dashen,Google Play
Good,5,2025-02-07 19:13:09,Dashen,Google Play
Good,5,2025-02-07 16:42:39,Dashen,Google Play
Good job,5,2025-02-07 15:32:00,Dashen,Google Play
Good job,5,2025-02-07 08:08:28,Dashen,Google Play
It's nice and easy to use,5,2025-02-07 07:43:04,Dashen,Google Play
Nice app,5,2025-02-07 06:54:01,Dashen,Google Play
Good app i used it always,5,2025-02-07 06:15:51,Dashen,Google Play
It is very very slow pls update,2,2025-02-06 09:32:28,Dashen,Google Play
Very slow and it seems that every update something else is not working. The latest update doesn't allow me to use biometrics anymore and maximum daily transfer to Telebirr is 5k?!,1,2025-02-04 21:00:43,Dashen,Google Play
Good app Amole Wonderful,5,2025-02-01 19:19:22,Dashen,Google Play
This app needs many modifications. It takes long time to log in to the account. It is not as fast as CBE. please Update it🙏🙏🙏,1,2025-02-01 10:19:24,Dashen,Google Play
"The app is cool, but unlike other banks they don't provide a receipt for mobile banking transactions, which makes it useless for payments that require receipt",2,2025-01-31 21:41:58,Dashen,Google Play
I am glad to customer with you .I have plan to use dube ale and amole.,5,2025-01-27 23:33:43,Dashen,Google Play
WOW that's awesome,5,2025-01-27 19:18:54,Dashen,Google Play
I cant choose select an account,1,2025-01-26 09:32:29,Dashen,Google Play
Good👍,5,2025-01-22 16:23:55,Dashen,Google Play
Good,5,2025-01-16 19:03:04,Dashen,Google Play
wow,5,2025-01-15 11:20:01,Dashen,Google Play
we needs modification at all !,1,2025-01-14 12:51:11,Dashen,Google Play
It was good at first but now the system is very bad.please try to fix it.,1,2025-01-14 06:38:48,Dashen,Google Play
Generic error how tofix,4,2025-01-06 06:54:10,Dashen,Google Play
Fast and suitable to learn.,5,2025-01-04 08:14:27,Dashen,Google Play
