review,rating,date,bank,source,sentiment_label,sentiment_score
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,CBE,Google Play,positive,0.1739
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,CBE,Google Play,neutral,0.0
best,5,2025-06-04,CBE,Google Play,positive,0.6369
bezabih,5,2025-06-04,CBE,Google Play,neutral,0.0
Best Mobile Banking app ever,5,2025-06-04,CBE,Google Play,positive,0.6369
good,5,2025-06-04,CBE,Google Play,positive,0.4404
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,CBE,Google Play,positive,0.6369
dedeb,5,2025-06-04,CBE,Google Play,neutral,0.0
Good,5,2025-06-04,CBE,Google Play,positive,0.4404
👌👍,5,2025-06-04,CBE,Google Play,positive,0.7297
very niec,5,2025-06-04,CBE,Google Play,neutral,0.0
best app of finance,5,2025-06-04,CBE,Google Play,positive,0.6369
yetemeta,1,2025-06-03,CBE,Google Play,neutral,0.0
Engida Kebede Fetera,5,2025-06-03,CBE,Google Play,neutral,0.0
it is not safety,1,2025-06-03,CBE,Google Play,negative,-0.3252
NICE bank,5,2025-06-03,CBE,Google Play,positive,0.5473
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,CBE,Google Play,negative,-0.2263
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,CBE,Google Play,positive,0.3612
It's good but try to make it facilitate for your client,4,2025-06-02,CBE,Google Play,positive,0.2382
best app,5,2025-06-01,CBE,Google Play,positive,0.6369
Awesome bank,5,2025-06-01,CBE,Google Play,positive,0.6249
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,CBE,Google Play,positive,0.8567
Masha alla,5,2025-05-31,CBE,Google Play,neutral,0.0
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,CBE,Google Play,negative,-0.3174
better service,5,2025-05-31,CBE,Google Play,positive,0.4404
"it,s good app and time manager 👍",5,2025-05-30,CBE,Google Play,positive,0.4404
malkaamuu Jiidhaa Namoo,5,2025-05-30,CBE,Google Play,neutral,0.0
lower system everything,3,2025-05-30,CBE,Google Play,negative,-0.296
Nice!,5,2025-05-30,CBE,Google Play,positive,0.4753
Keep it up My CBE,5,2025-05-29,CBE,Google Play,neutral,0.0
yes good,5,2025-05-28,CBE,Google Play,positive,0.6808
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,CBE,Google Play,negative,-0.3274
i like everything of this app,5,2025-05-27,CBE,Google Play,positive,0.3612
🤬🤬🤬🤬 network 🛜,1,2025-05-26,CBE,Google Play,neutral,0.0
