review,rating,date,bank,source,sentiment_label,sentiment_score,themes
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,CBE,Google Play,positive,0.1739,"Transaction Speed, UI & Usability"
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,CBE,Google Play,neutral,0.0,Uncategorized
best,5,2025-06-04,CBE,Google Play,positive,0.6369,Customer Feedback
bezabih,5,2025-06-04,CBE,Google Play,neutral,0.0,Uncategorized
best mobile banking app ever,5,2025-06-04,CBE,Google Play,positive,0.6369,"Customer Feedback, UI & Usability, App Purpose"
good,5,2025-06-04,CBE,Google Play,positive,0.4404,Customer Feedback
it was good app but it have some issues like it doesnt give me the right amount that i have in the bank and have some issues in transferring,2,2025-06-04,CBE,Google Play,positive,0.6369,"Customer Feedback, Transaction Speed, UI & Usability, Functionality"
dedeb,5,2025-06-04,CBE,Google Play,neutral,0.0,Uncategorized
good,5,2025-06-04,CBE,Google Play,positive,0.4404,Customer Feedback
👌👍,5,2025-06-04,CBE,Google Play,positive,0.7297,Uncategorized
very niec,5,2025-06-04,CBE,Google Play,neutral,0.0,Uncategorized
best app of finance,5,2025-06-04,CBE,Google Play,positive,0.6369,"Customer Feedback, UI & Usability"
yetemeta,1,2025-06-03,CBE,Google Play,neutral,0.0,Uncategorized
engida kebede fetera,5,2025-06-03,CBE,Google Play,neutral,0.0,Uncategorized
it is not safety,1,2025-06-03,CBE,Google Play,negative,-0.3252,Uncategorized
nice bank,5,2025-06-03,CBE,Google Play,positive,0.5473,Customer Feedback
it is like a childish app make it better the worst i have ever seen,1,2025-06-02,CBE,Google Play,negative,-0.2263,"Customer Feedback, Negative Feedback, UI & Usability, Feature Request"
"it's a problem solver application, go ahead cbe, i love so much.",5,2025-06-02,CBE,Google Play,positive,0.3612,"App Source, UI & Usability"
it's good but try to make it facilitate for your client,4,2025-06-02,CBE,Google Play,positive,0.2382,"Customer Feedback, Feature Request, Functionality"
best app,5,2025-06-01,CBE,Google Play,positive,0.6369,"Customer Feedback, UI & Usability"
awesome bank,5,2025-06-01,CBE,Google Play,positive,0.6249,Customer Feedback
this app has developed in a very good ways but there are some comments i need to make 1- preventing the screenshot likely not good for someone like me coz i need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,CBE,Google Play,positive,0.8567,"Login & Access, UI & Usability, Feature Request, Transaction Usage, Functionality, Customer Feedback"
masha alla,5,2025-05-31,CBE,Google Play,neutral,0.0,Uncategorized
"recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still i'm afraid now to send again",2,2025-05-31,CBE,Google Play,negative,-0.3174,"App Source, Feature Request, Developer Feedback, Transaction Usage, Functionality"
better service,5,2025-05-31,CBE,Google Play,positive,0.4404,"Customer Support, UI & Usability"
